Net Status Report
Filename     : C:\Users\Kuba\Documents\PCB\iot-gateway\iot-gateway.PcbDoc
Date         : 24.02.2018
Time         : 13:48:24
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetC45_1_U_ISM_3_1, Signal Layers Only, 300.649mils
    NetC47_1_U_ISM_0_2, Signal Layers Only, 111.936mils
    NetC47_1_U_ISM_1_2, Signal Layers Only, 109.226mils
    NetC47_1_U_ISM_2_2, Signal Layers Only, 110.031mils
    NetC47_1_U_ISM_3_2, Signal Layers Only, 108.226mils
    NetC52_2, Signal Layers Only, 351.416mils
    NetC55_2, Signal Layers Only, 352.298mils
    NetC56_2, Signal Layers Only, 97.974mils
    NetC57_2, Signal Layers Only, 98.44mils
    NetC62_1, Signal Layers Only, 0mils
    NetC68_1, Signal Layers Only, 0mils
    NetC68_2, Signal Layers Only, 0mils
    NetD4_3, Signal Layers Only, 230.481mils
    NetD5_2, Signal Layers Only, 0mils
    NetD6_2, Signal Layers Only, 0mils
    NetD6_3, Signal Layers Only, 0mils
    NetD8_2, Signal Layers Only, 0mils
    NetF1_1, Signal Layers Only, 0mils
    NetFB2_1, Signal Layers Only, 0mils
    NetFB3_1, Signal Layers Only, 0mils
    NetIC1_10, Signal Layers Only, 415.789mils
    NetIC1_11, Signal Layers Only, 68.393mils
    NetIC1_13, Signal Layers Only, 72.118mils
    NetIC1_15, Signal Layers Only, 2748.223mils
    NetIC1_16, Signal Layers Only, 903.038mils
    NetIC1_17, Signal Layers Only, 77.679mils
    NetIC1_18, Signal Layers Only, 75.675mils
    NetIC1_19, Signal Layers Only, 64.31mils
    NetIC1_2, Signal Layers Only, 1198.378mils
    NetIC1_20, Signal Layers Only, 73.344mils
    NetIC1_21, Signal Layers Only, 1355.693mils
    NetIC1_22, Signal Layers Only, 70.034mils
    NetIC1_23, Signal Layers Only, 300.549mils
    NetIC1_24, Signal Layers Only, 257.265mils
    NetIC1_25, Signal Layers Only, 211.839mils
    NetIC1_26, Signal Layers Only, 167.275mils
    NetIC1_29, Signal Layers Only, 69.503mils
    NetIC1_30, Signal Layers Only, 65.945mils
    NetIC1_31, Signal Layers Only, 2498.005mils
    NetIC1_32, Signal Layers Only, 74.795mils
    NetIC1_33, Signal Layers Only, 71.661mils
    NetIC1_34, Signal Layers Only, 75.36mils
    NetIC1_35, Signal Layers Only, 79.444mils
    NetIC1_36, Signal Layers Only, 368.908mils
    NetIC1_37, Signal Layers Only, 71.176mils
    NetIC1_38, Signal Layers Only, 1428.088mils
    NetIC1_39, Signal Layers Only, 2057.551mils
    NetIC1_4, Signal Layers Only, 1188.265mils
    NetIC1_42, Signal Layers Only, 622.094mils
    NetIC1_44, Signal Layers Only, 547.063mils
    NetIC1_45, Signal Layers Only, 493.927mils
    NetIC1_47, Signal Layers Only, 413.292mils
    NetIC1_48, Signal Layers Only, 359.739mils
    NetIC1_5, Signal Layers Only, 2382.12mils
    NetIC1_50, Signal Layers Only, 1113.279mils
    NetIC1_51, Signal Layers Only, 1042.657mils
    NetIC1_53, Signal Layers Only, 582.495mils
    NetIC1_7, Signal Layers Only, 2286.121mils
    NetIC1_8, Signal Layers Only, 341.324mils
    NetIC2_4, Signal Layers Only, 0mils
    NetIC2_6, Signal Layers Only, 0mils
    NetIC2_8, Signal Layers Only, 0mils
    NetIC5_2, Signal Layers Only, 0mils
    NetIC5_4, Signal Layers Only, 0mils
    NetIC5_5, Signal Layers Only, 0mils
    NetIC5_7, Signal Layers Only, 0mils
    NetIC6_2, Signal Layers Only, 0mils
    NetIC6_4, Signal Layers Only, 0mils
    NetIC6_5, Signal Layers Only, 0mils
    NetIC6_7, Signal Layers Only, 0mils
    NetJ4_1, Signal Layers Only, 0mils
    NetJ5_2, Signal Layers Only, 0mils
    NetJ5_3, Signal Layers Only, 0mils
    NetJ7_2, Signal Layers Only, 0mils
    NetJ7_3, Signal Layers Only, 0mils
    NetL3_1_U_ISM_0_1, Signal Layers Only, 42mils
    NetL3_1_U_ISM_1_1, Signal Layers Only, 41mils
    NetL3_1_U_ISM_2_1, Signal Layers Only, 42mils
    NetL3_1_U_ISM_3_1, Signal Layers Only, 42mils
    NetL4_1_U_ISM_0_1, Signal Layers Only, 52.503mils
    NetL4_1_U_ISM_1_1, Signal Layers Only, 55.307mils
    NetL4_1_U_ISM_2_1, Signal Layers Only, 52.503mils
    NetL4_1_U_ISM_3_1, Signal Layers Only, 55.549mils
    NetLD10_1, Signal Layers Only, 0mils
    NetLD11_1, Signal Layers Only, 0mils
    NetLD12_1, Signal Layers Only, 0mils
    NetLD6_1_U_ISM_0_1, Signal Layers Only, 117.409mils
    NetLD6_1_U_ISM_1_1, Signal Layers Only, 96.78mils
    NetLD6_1_U_ISM_2_1, Signal Layers Only, 117.409mils
    NetLD6_1_U_ISM_3_1, Signal Layers Only, 96.78mils
    NetLD7_1_U_ISM_0_1, Signal Layers Only, 110.368mils
    NetLD7_1_U_ISM_1_1, Signal Layers Only, 103.326mils
    NetLD7_1_U_ISM_2_1, Signal Layers Only, 110.368mils
    NetLD7_1_U_ISM_3_1, Signal Layers Only, 103.326mils
    NetLD8_1_U_ISM_0_1, Signal Layers Only, 103.326mils
    NetLD8_1_U_ISM_1_1, Signal Layers Only, 110.368mils
    NetLD8_1_U_ISM_2_1, Signal Layers Only, 103.326mils
    NetLD8_1_U_ISM_3_1, Signal Layers Only, 110.368mils
    NetLD9_1_U_ISM_0_1, Signal Layers Only, 96.284mils
    NetLD9_1_U_ISM_1_1, Signal Layers Only, 117.409mils
    NetLD9_1_U_ISM_2_1, Signal Layers Only, 96.284mils
    NetLD9_1_U_ISM_3_1, Signal Layers Only, 117.409mils
    NetLED1_K, Signal Layers Only, 163.799mils
    NetLED2_K, Signal Layers Only, 149.836mils
    NetLED3_K, Signal Layers Only, 149.464mils
    NetLED4_K, Signal Layers Only, 152.498mils
    NetLED5_K, Signal Layers Only, 159.113mils
    NetR12_1, Signal Layers Only, 113.755mils
    NetR14_2, Signal Layers Only, 133.8mils
    NetR42_1, Signal Layers Only, 90.261mils
    NetR43_2, Signal Layers Only, 0mils
    NetR44_2, Signal Layers Only, 0mils
    NetR45_1, Signal Layers Only, 0mils
    NetR62_1, Signal Layers Only, 0mils
    NetR7_1, Signal Layers Only, 351.101mils
    NetR8_1, Signal Layers Only, 348.901mils
    NetR9_1, Signal Layers Only, 268.464mils
    NetTP1_1_U_ISM_0_1, Signal Layers Only, 0mils
    NetTP1_1_U_ISM_1_1, Signal Layers Only, 0mils
    NetTP1_1_U_ISM_2_1, Signal Layers Only, 0mils
